,Close,MA_20,StdDev,Upper_Band,Lower_Band,TP,SMA,MAD,CCI,Decision
2023-02-28,87.60600280761719,88.42550086975098,0.6228922299167949,89.67128532958456,87.17971640991739,87.60600280761719,88.42550086975098,0.45884952545166013,-119.06562197808837,NEUTRAL
2023-03-01,87.34100341796875,88.35575103759766,0.6630997410546893,89.68195051970703,87.02955155548828,87.34100341796875,88.35575103759766,0.502374267578125,-134.66024371575406,NEUTRAL
2023-03-02,87.85399627685547,88.25110092163087,0.5551187723507767,89.36133846633241,87.14086337692932,87.85399627685547,88.25110092163087,0.44848991394042914,-59.0284021159566,NEUTRAL
2023-03-03,87.21600341796875,88.1423511505127,0.5326453100265018,89.2076417705657,87.07706053045969,87.21600341796875,88.1423511505127,0.44751453399658203,-137.99890464205876,NEUTRAL
2023-03-06,86.81600189208984,88.04865112304688,0.592683283467328,89.23401768998154,86.86328455611222,86.81600189208984,88.04865112304688,0.49478469848632756,-166.08560379602483,BUY
2023-03-07,87.3479995727539,87.98085098266601,0.5913270605959865,89.16350510385799,86.79819686147404,87.3479995727539,87.98085098266601,0.5015647125244144,-84.1169502969904,NEUTRAL
2023-03-08,86.44000244140625,87.86130104064941,0.6492627836584566,89.15982660796632,86.5627754733325,86.44000244140625,87.86130104064941,0.536099624633789,-176.7455815964618,BUY
2023-03-09,86.38300323486328,87.75555114746093,0.7095446176098451,89.17464038268062,86.33646191224125,86.38300323486328,87.75555114746093,0.5793940734863284,-157.92911657273973,NEUTRAL
2023-03-10,86.73500061035156,87.66415100097656,0.7177480139908909,89.09964702895834,86.22865497299478,86.73500061035156,87.66415100097656,0.5900489807128906,-104.980029454776,NEUTRAL
2023-03-13,87.1259994506836,87.61915092468261,0.722067702361961,89.06328632940654,86.17501551995869,87.1259994506836,87.61915092468261,0.5943640518188473,-55.31418805134661,NEUTRAL
2023-03-14,88.13800048828125,87.59870109558105,0.6998569800726545,88.99841505572635,86.19898713543574,88.13800048828125,87.59870109558105,0.5725994110107422,62.78960850346661,NEUTRAL
2023-03-15,88.16899871826172,87.56070098876953,0.64207139405022,88.84484377686996,86.27655820066909,88.16899871826172,87.56070098876953,0.5345993041992188,75.85715441005146,NEUTRAL
2023-03-16,87.66500091552734,87.52375106811523,0.6115243369132003,88.74679974194163,86.30070239428883,87.66500091552734,87.52375106811523,0.4976493835449219,18.922270991401298,NEUTRAL
2023-03-17,87.61599731445312,87.49795074462891,0.5951781311254223,88.68830700687975,86.30759448237806,87.61599731445312,87.49795074462891,0.47184906005859373,16.67857793472585,NEUTRAL
2023-03-20,87.94200134277344,87.47340087890625,0.563882946249451,88.60116677140515,86.34563498640735,87.94200134277344,87.47340087890625,0.4485591125488284,69.6452932300616,NEUTRAL
2023-03-21,88.36799621582031,87.47895050048828,0.5724815281795753,88.62391355684743,86.33398744412914,88.36799621582031,87.47895050048828,0.45355377197265623,130.67847302357347,NEUTRAL
2023-03-22,88.99600219726562,87.51950073242188,0.6487649756214131,88.8170306836647,86.22197078117905,88.99600219726562,87.51950073242188,0.4933990478515625,199.50065047388722,SELL
2023-03-23,89.625,87.61200065612793,0.8011092858908561,89.21421922790964,86.00978208434623,89.625,87.61200065612793,0.5864987564086916,228.81541485251316,SELL
2023-03-24,89.0459976196289,87.69000053405762,0.8618382188242262,89.41367697170607,85.96632409640917,89.0459976196289,87.69000053405762,0.6617988586425781,136.5971012554668,NEUTRAL
2023-03-26,88.5260009765625,87.74780044555663,0.877862798103545,89.50352604176372,85.99207484934955,88.5260009765625,87.74780044555663,0.6933789825439447,74.82204783601583,NEUTRAL
2023-03-27,88.75399780273438,87.8052001953125,0.9052086319452377,89.61561745920297,85.99478293142202,88.75399780273438,87.8052001953125,0.7365989685058594,85.87192832543619,NEUTRAL
2023-03-28,88.98200225830078,87.8872501373291,0.9348062356860808,89.75686260870127,86.01763766595694,88.98200225830078,87.8872501373291,0.7673496246337891,95.11111022733067,NEUTRAL
2023-03-29,89.05500030517578,87.94730033874512,0.970453105478967,89.88820654970306,86.00639412778719,89.05500030517578,87.94730033874512,0.8185993194580078,90.21100149167509,NEUTRAL
2023-03-30,89.44200134277344,88.05860023498535,1.0090482210527978,90.07669667709095,86.04050379287975,89.44200134277344,88.05860023498535,0.8456395339965823,109.06152895115079,NEUTRAL
2023-04-02,89.0260009765625,88.16910018920899,0.9865675928814928,90.14223537497197,86.195965003446,89.0260009765625,88.16910018920899,0.8128997802734375,70.27523016144104,NEUTRAL
2023-04-03,89.59700012207031,88.2815502166748,1.0157908123214614,90.31313184131773,86.24996859203188,89.59700012207031,88.2815502166748,0.8319947433471683,105.4053058158654,NEUTRAL
